External_Id__c,Owner.External_Id__c,Account.External_Id__c,Contact.External_Id__c,CreatedDate__c,ClosedDate__c,Channel,Tier,Product_Family_KB__c,Priority,SLA,Reason,Type_of_Support__c,CSAT__c,Status,First_Contact_Close__c,Time_Open__c,Team__c,close_date_offset,account_case_ct,Offer_Voucher__c,Send_FieldService__c,IsEscalated
W_Case.114,W_Services_User.9,W_Account.266,W_Contact.266,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Computers,Medium,Compliant,Item Damaged,Platinum,66.82015954,Closed,True,12,Central Sales,2,7,False,True,true
W_Case.115,W_Services_User.2,W_Account.267,W_Contact.267,2017-04-06 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,DVD Players,High,Compliant,Late Delivery,Silver,62.00145033,Closed,False,24,West Sales,2,1,True,True,false
W_Case.116,W_Services_User.11,W_Account.276,W_Contact.276,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Headphones,High,Compliant,Hardware Question,Silver,66.43654822,Closed,False,12,East Sales,2,1,False,False,false
W_Case.117,W_Services_User.14,W_Account.280,W_Contact.280,2017-02-05 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Headphones,Low,Violation,Item Damaged,Silver,63.94923858,Closed,False,84,East Sales,2,1,False,True,true
W_Case.118,W_Services_User.15,W_Account.281,W_Contact.281,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 3,Headphones,Low,Compliant,Hardware Question,Silver,63.6142132,Closed,False,48,East Sales,2,1,False,False,true
W_Case.119,W_Services_User.11,W_Account.283,W_Contact.283,2017-02-05 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Home Audio,High,Violation,Item Damaged,Free,71.09499637,Closed,False,84,East Sales,2,1,False,True,false
W_Case.120,W_Services_User.10,W_Account.285,W_Contact.285,2017-03-01 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Home Audio,High,Violation,Late Delivery,Free,70.36983321,Closed,True,60,Central Sales,2,1,False,True,false
W_Case.121,W_Services_User.8,W_Account.287,W_Contact.287,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Home Audio,Low,Compliant,Hardware Question,Free,68.55692531,Closed,False,12,Central Sales,2,2,False,False,true
W_Case.122,W_Services_User.7,W_Account.288,W_Contact.288,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 3,Home Audio,Low,Compliant,Hardware Question,Free,69.64467005,Closed,False,48,Central Sales,2,1,True,True,true
W_Case.123,W_Services_User.13,W_Account.294,W_Contact.294,2017-02-17 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Tablets,Medium,Violation,Late Delivery,Silver,65.78680203,Closed,False,72,East Sales,2,2,True,True,true
W_Case.124,W_Services_User.7,W_Account.297,W_Contact.297,2017-04-06 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,TVs,Medium,Compliant,Hardware Question,Free,66.20014503,Closed,False,24,Central Sales,2,3,True,False,false
W_Case.125,W_Services_User.17,W_Account.302,W_Contact.302,2016-12-31 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Video Games,High,Violation,Hardware Question,Free,60.08973894,Closed,True,120,South Sales,2,3,False,True,false
W_Case.126,W_Services_User.6,W_Account.304,W_Contact.304,2017-03-25 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Video Games,Medium,Compliant,Hardware Question,Free,60.13052937,Closed,True,36,Central Sales,2,1,False,True,true
W_Case.127,W_Services_User.7,W_Account.305,W_Contact.305,2017-02-05 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Video Games,Low,Violation,Late Delivery,Free,60.58738216,Closed,False,84,Central Sales,2,2,False,True,true
W_Case.128,W_Services_User.8,W_Account.310,W_Contact.310,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cables,High,Compliant,Item Damaged,Silver,61.59535896,Closed,False,48,Central Sales,2,1,False,False,false
W_Case.129,W_Services_User.11,W_Account.313,W_Contact.313,2017-02-17 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Cables,Medium,Violation,Late Delivery,Silver,61.67657723,Closed,False,72,East Sales,2,1,False,False,true
W_Case.130,W_Services_User.15,W_Account.314,W_Contact.314,2016-12-31 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Cables,Low,Violation,Late Delivery,Silver,61.37490935,Closed,False,120,East Sales,2,1,False,False,true
W_Case.131,W_Services_User.17,W_Account.317,W_Contact.317,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cameras,High,Compliant,Late Delivery,Silver,73.9231327,Closed,False,48,South Sales,2,1,True,False,false
W_Case.132,W_Services_User.6,W_Account.322,W_Contact.322,2017-03-01 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cell Phones,High,Violation,Hardware Question,Basic,64.03553299,Closed,True,60,Central Sales,2,3,False,True,false
W_Case.133,W_Services_User.14,W_Account.323,W_Contact.323,2017-01-24 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cell Phones,High,Violation,Item Damaged,Basic,65.10152284,Closed,False,96,East Sales,2,2,True,False,false
W_Case.134,W_Services_User.12,W_Account.329,W_Contact.329,2017-04-06 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Computers,High,Compliant,Item Damaged,Platinum,65.26468455,Closed,False,24,East Sales,2,1,False,True,false
W_Case.135,W_Services_User.14,W_Account.332,W_Contact.332,2017-04-06 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Computers,Medium,Compliant,Item Damaged,Platinum,66.93981146,Closed,True,24,East Sales,2,1,True,False,false
W_Case.136,W_Services_User.16,W_Account.333,W_Contact.333,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Computers,Medium,Compliant,Late Delivery,Platinum,66.82015954,Closed,True,48,South Sales,2,1,False,False,true
W_Case.137,W_Services_User.1,W_Account.339,W_Contact.339,2017-03-01 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,DVD Players,High,Violation,Late Delivery,Silver,61.93618564,Closed,True,60,West Sales,2,1,True,False,false
W_Case.138,W_Services_User.12,W_Account.340,W_Contact.340,2017-03-25 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,DVD Players,Medium,Compliant,Late Delivery,Silver,66.26540972,Closed,False,36,East Sales,2,1,False,True,false
W_Case.139,W_Services_User.17,W_Account.341,W_Contact.341,2017-03-25 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Headphones,High,Compliant,Late Delivery,Silver,68.3248731,Closed,True,36,South Sales,2,8,True,False,false
W_Case.140,W_Services_User.11,W_Account.341,W_Contact.341,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Headphones,High,Compliant,Item Damaged,Silver,66.11167513,Closed,False,12,East Sales,2,8,True,True,false
W_Case.141,W_Services_User.13,W_Account.342,W_Contact.342,2016-12-31 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Headphones,Medium,Violation,Late Delivery,Silver,62.40609137,Closed,True,120,East Sales,2,1,True,True,false
W_Case.142,W_Services_User.9,W_Account.345,W_Contact.345,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Home Audio,High,Compliant,Item Damaged,Free,68.55692531,Closed,False,12,Central Sales,2,2,True,True,false
W_Case.143,W_Services_User.11,W_Account.349,W_Contact.349,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Home Audio,Medium,Compliant,Hardware Question,Free,64.27846265,Closed,True,12,East Sales,2,2,False,False,true
W_Case.144,W_Services_User.11,W_Account.352,W_Contact.352,2016-12-31 20:27:49,2017-04-30 20:27:49,Chat,Tier 3,Home Audio,Low,Violation,Late Delivery,Free,69.64467005,Closed,True,120,East Sales,2,2,False,True,true
W_Case.145,W_Services_User.12,W_Account.356,W_Contact.356,2017-03-01 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Tablets,Medium,Violation,Hardware Question,Silver,65.78680203,Closed,False,60,East Sales,2,1,True,True,true
W_Case.146,W_Services_User.10,W_Account.360,W_Contact.360,2017-04-18 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,TVs,High,Compliant,Late Delivery,Free,64.07904278,Closed,False,12,Central Sales,2,1,False,True,false
W_Case.147,W_Services_User.11,W_Account.372,W_Contact.372,2017-04-06 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Video Games,Medium,Compliant,Late Delivery,Free,60.49764322,Closed,False,24,East Sales,2,2,False,True,false
W_Case.148,W_Services_User.13,W_Account.373,W_Contact.373,2017-02-05 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Video Games,Medium,Violation,Late Delivery,Free,60.1713198,Closed,True,84,East Sales,2,2,False,True,true
W_Case.149,W_Services_User.14,W_Account.374,W_Contact.374,2017-02-05 20:27:49,2017-04-30 20:27:49,Chat,Tier 3,Video Games,Low,Violation,Late Delivery,Free,60.77501813,Closed,True,84,East Sales,2,4,False,False,true
W_Case.150,W_Services_User.14,W_Account.375,W_Contact.375,2017-01-12 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cables,High,Violation,Unknown Failure,Basic,62.12436548,Closed,True,108,East Sales,2,1,False,False,false
W_Case.151,W_Services_User.15,W_Account.384,W_Contact.384,2017-01-24 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Cell Phones,High,Violation,Hardware Question,Platinum,65.93908629,Closed,True,96,East Sales,2,4,True,False,false
W_Case.152,W_Services_User.7,W_Account.387,W_Contact.387,2017-03-01 20:27:49,2017-04-30 20:27:49,Chat,Tier 2,Cell Phones,Low,Violation,Unknown Failure,Platinum,66.39593909,Closed,True,60,Central Sales,2,1,False,False,true
W_Case.153,W_Services_User.17,W_Account.389,W_Contact.389,2017-03-13 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Computers,High,Compliant,Documentation,Silver,72.44379985,Closed,True,48,South Sales,2,1,True,False,false
W_Case.154,W_Services_User.3,W_Account.390,W_Contact.390,2017-02-17 20:27:49,2017-04-30 20:27:49,Chat,Tier 1,Computers,High,Violation,Unknown Failure,Silver,66.38143582,Closed,False,72,West Sales,2,1,False,False,false
W_Case.155,W_Services_User.11,W_Account.393,W_Contact.393,2017-02-16 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Computers,Medium,Violation,Unknown Failure,Silver,69.73168963,Closed,True,72,East Sales,3,1,True,True,true
W_Case.156,W_Services_User.15,W_Account.398,W_Contact.398,2017-04-17 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,DVD Players,Medium,Compliant,General Question,Basic,68.75634518,Closed,False,12,East Sales,3,66,True,False,false
W_Case.157,W_Services_User.5,W_Account.398,W_Contact.398,2017-02-28 20:27:49,2017-04-29 20:27:49,Chat,Tier 3,DVD Players,Low,Violation,Hardware Question,Basic,62.83629442,Closed,False,60,West Sales,3,66,False,True,true
W_Case.158,W_Services_User.13,W_Account.398,W_Contact.398,2017-01-11 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Headphones,High,Violation,General Question,Free,67.71573604,Closed,False,108,East Sales,3,66,True,False,false
W_Case.159,W_Services_User.8,W_Account.398,W_Contact.398,2016-12-30 20:27:49,2017-04-29 20:27:49,Chat,Tier 3,Home Audio,Low,Violation,Documentation,Free,75.27193619,Closed,False,120,Central Sales,3,66,True,True,true
W_Case.160,W_Services_User.13,W_Account.398,W_Contact.398,2017-01-11 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Tablets,High,Violation,General Question,Basic,72.79187817,Closed,True,108,East Sales,3,66,False,False,false
W_Case.161,W_Services_User.10,W_Account.398,W_Contact.398,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Tablets,High,Compliant,Hardware Question,Basic,80.69796954,Closed,False,48,Central Sales,3,66,False,True,false
W_Case.162,W_Services_User.8,W_Account.398,W_Contact.398,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 3,Tablets,Low,Compliant,Unknown Failure,Basic,86.64974619,Closed,False,48,Central Sales,3,66,True,True,true
W_Case.163,W_Services_User.19,W_Account.398,W_Contact.398,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,TVs,High,Compliant,General Question,Platinum,67.6142132,Closed,False,48,South Sales,3,66,True,False,false
W_Case.164,W_Services_User.14,W_Account.398,W_Contact.398,2016-12-30 20:27:49,2017-04-29 20:27:49,Chat,Tier 3,TVs,Low,Violation,Unknown Failure,Platinum,64.13343002,Closed,False,120,East Sales,3,66,False,False,true
W_Case.165,W_Services_User.15,W_Account.398,W_Contact.398,2017-02-28 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Video Games,High,Violation,General Question,Silver,60,Closed,False,60,East Sales,3,66,False,True,false
W_Case.166,W_Services_User.2,W_Account.398,W_Contact.398,2017-02-04 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Video Games,High,Violation,Unknown Failure,Silver,60.826686,Closed,True,84,West Sales,3,66,False,True,false
W_Case.167,W_Services_User.7,W_Account.398,W_Contact.398,2016-12-30 20:27:49,2017-04-29 20:27:49,Chat,Tier 3,Video Games,Low,Violation,General Question,Silver,60.60188542,Closed,True,120,Central Sales,3,66,False,False,true
W_Case.168,W_Services_User.15,W_Account.398,W_Contact.398,2017-01-11 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cables,High,Violation,Documentation,Basic,61.73857868,Closed,False,108,East Sales,3,66,False,False,false
W_Case.169,W_Services_User.5,W_Account.398,W_Contact.398,2017-02-16 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cables,High,Violation,Hardware Question,Basic,61.97208122,Closed,False,72,West Sales,3,66,False,False,false
W_Case.170,W_Services_User.13,W_Account.398,W_Contact.398,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cables,Medium,Compliant,Documentation,Basic,61.88324873,Closed,True,48,East Sales,3,66,False,False,false
W_Case.171,W_Services_User.10,W_Account.398,W_Contact.398,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Cables,Medium,Compliant,Unknown Failure,Basic,61.45685279,Closed,True,36,Central Sales,3,66,False,False,true
W_Case.172,W_Services_User.3,W_Account.398,W_Contact.398,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Cables,Medium,Compliant,Documentation,Basic,62.35279188,Closed,False,36,West Sales,3,66,False,True,true
W_Case.173,W_Services_User.7,W_Account.398,W_Contact.398,2017-02-04 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cameras,High,Violation,Documentation,Silver,83.40826686,Closed,False,84,Central Sales,3,66,False,True,false
W_Case.174,W_Services_User.8,W_Account.404,W_Contact.404,2017-04-05 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,Hardware Question,Platinum,70.48585932,Closed,True,24,Central Sales,3,1,True,True,false
W_Case.175,W_Services_User.6,W_Account.406,W_Contact.406,2017-02-28 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Cell Phones,Low,Violation,Unknown Failure,Platinum,66.11312545,Closed,False,60,Central Sales,3,7,True,True,true
W_Case.176,W_Services_User.5,W_Account.406,W_Contact.406,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 3,Cell Phones,Low,Compliant,Documentation,Platinum,67.13560551,Closed,False,36,West Sales,3,7,True,False,true
W_Case.177,W_Services_User.20,W_Account.406,W_Contact.406,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Computers,High,Compliant,Unknown Failure,Silver,68.77447426,Closed,False,36,South Sales,3,7,False,True,false
W_Case.178,W_Services_User.10,W_Account.409,W_Contact.409,2017-01-11 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Computers,Medium,Violation,Unknown Failure,Silver,70.8484409,Closed,True,108,Central Sales,3,5,False,True,true
W_Case.179,W_Services_User.9,W_Account.409,W_Contact.409,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 3,Computers,Low,Compliant,Documentation,Silver,80.42059463,Closed,True,36,Central Sales,3,5,True,True,true
W_Case.180,W_Services_User.15,W_Account.410,W_Contact.410,2017-04-05 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,DVD Players,High,Compliant,Documentation,Basic,62.49365482,Closed,False,24,East Sales,3,3,True,True,false
W_Case.181,W_Services_User.8,W_Account.412,W_Contact.412,2017-04-17 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,DVD Players,Low,Compliant,General Question,Basic,64.79695431,Closed,True,12,Central Sales,3,12,True,True,true
W_Case.182,W_Services_User.7,W_Account.412,W_Contact.412,2017-04-05 20:27:49,2017-04-29 20:27:49,Chat,Tier 3,DVD Players,Low,Compliant,General Question,Basic,64.68274112,Closed,True,24,Central Sales,3,12,True,True,true
W_Case.183,W_Services_User.13,W_Account.412,W_Contact.412,2016-12-30 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Headphones,Medium,Violation,General Question,Free,63.56598985,Closed,True,120,East Sales,3,12,False,False,false
W_Case.184,W_Services_User.12,W_Account.412,W_Contact.412,2017-01-11 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Headphones,Medium,Violation,Unknown Failure,Free,62.1319797,Closed,False,108,East Sales,3,12,False,False,true
W_Case.185,W_Services_User.13,W_Account.413,W_Contact.413,2017-01-23 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Headphones,Low,Violation,General Question,Free,64.73350254,Closed,False,96,East Sales,3,1,True,False,true
W_Case.186,W_Services_User.11,W_Account.415,W_Contact.415,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Home Audio,High,Compliant,General Question,Free,74.16243655,Closed,False,36,East Sales,3,3,True,False,false
W_Case.187,W_Services_User.8,W_Account.417,W_Contact.417,2017-01-11 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Home Audio,Medium,Violation,Documentation,Free,69.724438,Closed,False,108,Central Sales,3,1,True,False,false
W_Case.188,W_Services_User.11,W_Account.420,W_Contact.420,2017-01-23 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Home Audio,Low,Violation,General Question,Free,74.29296592,Closed,True,96,East Sales,3,1,False,True,true
W_Case.189,W_Services_User.7,W_Account.424,W_Contact.424,2017-01-23 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Tablets,High,Violation,Documentation,Basic,79.89847716,Closed,False,96,Central Sales,3,1,False,False,false
W_Case.190,W_Services_User.11,W_Account.426,W_Contact.426,2017-02-16 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Tablets,Medium,Violation,Unknown Failure,Basic,74.83502538,Closed,True,72,East Sales,3,1,True,True,true
W_Case.191,W_Services_User.11,W_Account.427,W_Contact.427,2017-02-16 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,TVs,Medium,Violation,Unknown Failure,Platinum,64.56852792,Closed,False,72,East Sales,3,19,False,True,false
W_Case.192,W_Services_User.10,W_Account.427,W_Contact.427,2016-12-30 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,TVs,Medium,Violation,General Question,Platinum,64.89485134,Closed,True,120,Central Sales,3,19,False,False,true
W_Case.193,W_Services_User.12,W_Account.427,W_Contact.427,2017-02-16 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Video Games,High,Violation,Unknown Failure,Silver,60.34082669,Closed,True,72,East Sales,3,19,False,True,false
W_Case.194,W_Services_User.19,W_Account.428,W_Contact.428,2017-02-16 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cables,High,Violation,General Question,Basic,61.47208122,Closed,False,72,South Sales,3,4,False,True,false
W_Case.195,W_Services_User.3,W_Account.431,W_Contact.431,2017-02-16 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Cables,Medium,Violation,General Question,Basic,62.24619289,Closed,True,72,West Sales,3,2,False,False,true
W_Case.196,W_Services_User.11,W_Account.433,W_Contact.433,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 3,Cables,Low,Compliant,Unknown Failure,Basic,62.9822335,Closed,False,36,East Sales,3,2,False,False,true
W_Case.197,W_Services_User.6,W_Account.433,W_Contact.433,2017-04-17 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cameras,High,Compliant,Hardware Question,Silver,83.06018854,Closed,True,12,Central Sales,3,2,True,True,false
W_Case.198,W_Services_User.14,W_Account.434,W_Contact.434,2017-02-28 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cameras,High,Violation,General Question,Silver,82.62509065,Closed,True,60,East Sales,3,2,True,True,false
W_Case.199,W_Services_User.5,W_Account.435,W_Contact.435,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cameras,High,Compliant,Documentation,Basic,80.55837563,Closed,False,36,West Sales,3,1,True,True,false
W_Case.200,W_Services_User.11,W_Account.437,W_Contact.437,2017-02-16 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Cameras,Medium,Violation,Unknown Failure,Silver,78.23060189,Closed,True,72,East Sales,3,1,False,True,true
W_Case.201,W_Services_User.2,W_Account.441,W_Contact.441,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,Documentation,Platinum,68.54967368,Closed,True,48,West Sales,3,1,False,True,false
W_Case.202,W_Services_User.11,W_Account.442,W_Contact.442,2017-04-05 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,Documentation,Platinum,67.00507614,Closed,True,24,East Sales,3,2,False,False,false
W_Case.203,W_Services_User.11,W_Account.444,W_Contact.444,2017-01-23 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cell Phones,Medium,Violation,General Question,Platinum,69.20232052,Closed,True,96,East Sales,3,7,False,True,false
W_Case.204,W_Services_User.15,W_Account.444,W_Contact.444,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Cell Phones,Medium,Compliant,General Question,Platinum,68.37563452,Closed,False,48,East Sales,3,7,True,False,true
W_Case.205,W_Services_User.4,W_Account.444,W_Contact.444,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Cell Phones,Low,Compliant,Documentation,Platinum,67.46192893,Closed,False,36,West Sales,3,7,False,False,true
W_Case.206,W_Services_User.15,W_Account.444,W_Contact.444,2017-01-11 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Computers,High,Violation,Unknown Failure,Silver,67.65772299,Closed,True,108,East Sales,3,7,False,False,false
W_Case.207,W_Services_User.12,W_Account.445,W_Contact.445,2017-04-05 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Computers,High,Compliant,Unknown Failure,Silver,72.28426396,Closed,True,24,East Sales,3,2,False,False,false
W_Case.208,W_Services_User.2,W_Account.445,W_Contact.445,2017-02-16 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Computers,High,Violation,Hardware Question,Silver,69.73168963,Closed,False,72,West Sales,3,2,True,False,false
W_Case.209,W_Services_User.10,W_Account.446,W_Contact.446,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Computers,Medium,Compliant,Unknown Failure,Silver,74.5177665,Closed,True,48,Central Sales,3,4,True,False,true
W_Case.210,W_Services_User.12,W_Account.447,W_Contact.447,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,DVD Players,High,Compliant,General Question,Basic,63.59771574,Closed,True,36,East Sales,3,2,False,False,false
W_Case.211,W_Services_User.9,W_Account.449,W_Contact.449,2017-04-05 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,DVD Players,High,Compliant,Unknown Failure,Basic,63.61675127,Closed,False,24,Central Sales,3,1,False,False,false
W_Case.212,W_Services_User.7,W_Account.451,W_Contact.451,2017-04-17 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,DVD Players,Medium,Compliant,Hardware Question,Basic,68.75634518,Closed,True,12,Central Sales,3,2,True,True,false
W_Case.213,W_Services_User.15,W_Account.459,W_Contact.459,2017-02-04 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Home Audio,Medium,Violation,Unknown Failure,Free,67.24437999,Closed,False,84,East Sales,3,3,True,True,true
W_Case.214,W_Services_User.8,W_Account.460,W_Contact.460,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 3,Home Audio,Low,Compliant,General Question,Free,75.98984772,Closed,False,48,Central Sales,3,2,True,False,true
W_Case.215,W_Services_User.5,W_Account.462,W_Contact.462,2016-12-30 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Tablets,High,Violation,Unknown Failure,Basic,78.29949239,Closed,True,120,West Sales,3,2,True,False,false
W_Case.216,W_Services_User.10,W_Account.463,W_Contact.463,2017-02-04 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Tablets,Medium,Violation,Unknown Failure,Basic,71.9035533,Closed,False,84,Central Sales,3,4,True,True,false
W_Case.217,W_Services_User.12,W_Account.464,W_Contact.464,2017-04-05 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,TVs,High,Compliant,Unknown Failure,Platinum,66.85279188,Closed,True,24,East Sales,3,3,True,False,false
W_Case.218,W_Services_User.19,W_Account.464,W_Contact.464,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,TVs,High,Compliant,Documentation,Platinum,65.65627266,Closed,True,48,South Sales,3,3,True,False,false
W_Case.219,W_Services_User.6,W_Account.466,W_Contact.466,2017-02-28 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,TVs,Medium,Violation,Unknown Failure,Platinum,63.8071066,Closed,True,60,Central Sales,3,1,True,True,false
W_Case.220,W_Services_User.11,W_Account.471,W_Contact.471,2017-03-24 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Video Games,High,Compliant,General Question,Silver,60.39883974,Closed,False,36,East Sales,3,1,False,True,false
W_Case.221,W_Services_User.19,W_Account.472,W_Contact.472,2017-04-17 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Video Games,High,Compliant,Documentation,Silver,60,Closed,False,12,South Sales,3,1,False,True,false
W_Case.222,W_Services_User.11,W_Account.473,W_Contact.473,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Video Games,High,Compliant,Documentation,Silver,60.25380711,Closed,True,48,East Sales,3,1,False,False,false
W_Case.223,W_Services_User.5,W_Account.474,W_Contact.474,2017-03-12 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Video Games,High,Compliant,Unknown Failure,Silver,60.92820885,Closed,False,48,West Sales,3,2,False,True,false
W_Case.224,W_Services_User.10,W_Account.477,W_Contact.477,2017-01-23 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cables,High,Violation,Documentation,Basic,61.81472081,Closed,False,96,Central Sales,3,1,False,True,false
W_Case.225,W_Services_User.15,W_Account.483,W_Contact.483,2017-04-17 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Cables,Low,Compliant,General Question,Basic,62.62182741,Closed,True,12,East Sales,3,1,False,False,true
W_Case.226,W_Services_User.14,W_Account.487,W_Contact.487,2017-02-04 20:27:49,2017-04-29 20:27:49,Chat,Tier 2,Cameras,Low,Violation,Unknown Failure,Silver,75.09789703,Closed,True,84,East Sales,3,2,False,True,true
W_Case.227,W_Services_User.7,W_Account.489,W_Contact.489,2017-04-05 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,General Question,Platinum,69.18056563,Closed,True,24,Central Sales,3,1,False,False,false
W_Case.228,W_Services_User.1,W_Account.491,W_Contact.491,2017-04-05 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Cell Phones,High,Compliant,Unknown Failure,Platinum,71.8129079,Closed,True,24,West Sales,3,2,False,True,false
W_Case.229,W_Services_User.10,W_Account.496,W_Contact.496,2017-02-16 20:27:49,2017-04-29 20:27:49,Chat,Tier 1,Computers,Medium,Violation,Documentation,Silver,69.25308194,Closed,False,72,Central Sales,3,1,True,False,false
