What.External_Id__c,Owner.External_Id__c,CreatedDate__c,ActivityDate,External_Id__c,TaskSubtype,CallDurationInSeconds,CallDisposition,CallType,Status,Priority,Subject
W_Opportunity.23938,W_User.19,2016-10-13 14:14:42,2016-10-19,W_Sales_Task.1669,Task,110,Call Successful,Outbound,Completed,Normal,Customer Success Review
W_Opportunity.23940,W_User.2,2015-09-10 00:11:24,2015-09-20,W_Sales_Task.1670,Task,1110,Appointment Set,Inbound,Open,Normal,Product Demonstration with Team
W_Opportunity.23943,W_User.19,2016-05-05 10:48:00,2016-05-16,W_Sales_Task.1671,Task,1530,No Answer,Inbound,Completed,Normal,Send Updated Pricing
W_Opportunity.23943,W_User.19,2016-05-05 16:25:19,2016-05-12,W_Sales_Task.1672,Task,670,Appointment Set,Outbound,In Progress,Normal,Onsite Presentation and Discussion
W_Opportunity.23944,W_User.18,2015-07-01 03:32:19,2015-07-05,W_Sales_Task.1673,Task,1760,Call Successful,Internal,In Progress,Normal,Customer Feedback Session
W_Opportunity.23949,W_User.6,2017-04-12 11:01:10,2017-04-12,W_Sales_Task.1674,Task,30,Call Successful,Inbound,Completed,High,Send Out Proposal and Pricing
W_Opportunity.23949,W_User.6,2017-04-29 14:21:58,2017-05-09,W_Sales_Task.1675,Task,2430,Call Successful,Internal,In Progress,Normal,Develop Business Case
W_Opportunity.23955,W_User.6,2017-04-08 09:45:15,2017-04-10,W_Sales_Task.1676,Task,2320,No Answer,Outbound,On Hold,Normal,Review Campaign Success and Plan Next Phase
W_Opportunity.23955,W_User.6,2017-04-15 13:39:13,2017-04-27,W_Sales_Task.1677,Task,1830,No Answer,Outbound,In Progress,Normal,Schedule Discovery Call
W_Opportunity.23956,W_User.1,2016-10-26 18:02:18,2016-11-04,W_Sales_Task.1678,Task,1580,Appointment Set,Internal,On Hold,High,Deal Discussion with Team
W_Opportunity.23956,W_User.1,2016-10-19 20:38:49,2016-10-24,W_Sales_Task.1679,Call,1910,Call Successful,Internal,In Progress,High,Discuss Requirements with CIO
W_Opportunity.23968,W_User.6,2016-10-04 21:37:07,2016-10-04,W_Sales_Task.1680,Task,1760,Appointment Set,Outbound,Completed,Normal,Call to Schedule Presentation
W_Opportunity.23969,W_User.2,2017-02-13 04:43:56,2017-02-17,W_Sales_Task.1681,Call,3110,Call Successful,Outbound,Completed,Normal,Notes from Discovery Meeting
W_Opportunity.23976,W_User.3,2017-03-02 11:20:31,2017-03-02,W_Sales_Task.1682,Task,1720,Call Unsuccessful,Internal,Not Started,Normal,Finalize Board Presentation
W_Opportunity.23991,W_User.4,2016-04-13 22:04:16,2016-04-18,W_Sales_Task.1683,Task,130,Appointment Set,Inbound,Completed,Normal,Sales Presentation to Executive Team
W_Opportunity.24002,W_User.15,2015-06-21 02:48:18,2015-07-01,W_Sales_Task.1684,Task,1450,Busy,Inbound,In Progress,Normal,Follow Up To My Message
W_Opportunity.24030,W_User.17,2016-11-19 17:16:17,2016-11-27,W_Sales_Task.1685,Task,3070,Appointment Set,Outbound,In Progress,Normal,Send Needs Questionnaire
W_Opportunity.24031,W_User.18,2016-12-18 20:29:32,2016-12-25,W_Sales_Task.1686,Call,640,Contacted,Internal,Completed,Normal,Discovery Meeting Request
W_Opportunity.24031,W_User.18,2016-12-19 22:04:45,2016-12-27,W_Sales_Task.1687,Task,1720,Left Message,Inbound,Completed,Normal,Qualification Call with Stakeholders
W_Opportunity.24037,W_User.6,2016-01-15 04:52:21,2016-01-27,W_Sales_Task.1688,Task,590,Call Successful,Inbound,Not Started,Normal,Complete Mutual Plan Document
W_Opportunity.24041,W_User.2,2015-09-21 05:48:41,2015-10-01,W_Sales_Task.1689,Task,3260,Left Voicemail,Inbound,Completed,Normal,Demonstration for Key Stakeholders
W_Opportunity.24041,W_User.2,2015-10-07 04:39:03,2015-10-18,W_Sales_Task.1690,Task,890,Call Successful,Internal,Open,High,Follow Up with Customer
W_Opportunity.24043,W_User.18,2017-02-27 16:56:47,2017-02-27,W_Sales_Task.1691,Task,1550,Call Successful,Outbound,In Progress,Normal,Sales Presentation to Project Team
W_Opportunity.24049,W_User.17,2015-09-19 18:19:55,2015-09-30,W_Sales_Task.1692,Task,2320,Call Successful,Internal,On Hold,Normal,Discovery Call with Management Team
W_Opportunity.24064,W_User.1,2017-05-11 20:38:26,2017-05-19,W_Sales_Task.1693,Task,330,Left Message,Inbound,On Hold,Normal,Review Current Results and Revise ROI
W_Opportunity.24064,W_User.1,2017-05-12 12:51:45,2017-05-25,W_Sales_Task.1694,Call,1560,Call Successful,Internal,In Progress,Normal,Called Decision Maker - CIO
W_Opportunity.24081,W_User.17,2017-01-03 18:00:19,2017-01-11,W_Sales_Task.1695,Task,2990,Appointment Set,Internal,Not Started,Normal,Call to Schedule Sales Presentation
W_Opportunity.24081,W_User.17,2016-11-25 05:51:36,2016-11-25,W_Sales_Task.1696,Task,3530,Busy,Outbound,Completed,Normal,Tradeshow Preparation
W_Opportunity.24083,W_User.14,2016-03-15 20:16:01,2016-03-19,W_Sales_Task.1697,Task,460,Call Successful,Outbound,On Hold,Normal,Onsite Presentation to Executive Team
W_Opportunity.24083,W_User.14,2016-03-16 17:15:05,2016-03-17,W_Sales_Task.1698,Task,560,Left Message,Internal,Not Started,Normal,Touch Base with Champion
W_Opportunity.24132,W_User.14,2016-02-01 10:53:17,2016-02-03,W_Sales_Task.1699,Task,490,Left Voicemail,Inbound,On Hold,Normal,Call Connect with CEO
W_Opportunity.24132,W_User.14,2016-02-05 20:35:56,2016-02-09,W_Sales_Task.1700,Task,280,Call Successful,Outbound,In Progress,Normal,Negotiate Terms and Conditions
W_Opportunity.24136,W_User.17,2017-03-24 17:40:20,2017-03-25,W_Sales_Task.1701,Task,1770,Appointment Set,Inbound,In Progress,Normal,Arrange Travel for Guest Speaker
W_Opportunity.24136,W_User.17,2017-03-25 05:48:30,2017-04-07,W_Sales_Task.1702,Call,2740,Appointment Set,Outbound,On Hold,Normal,Prep Sales Presentation
W_Opportunity.24141,W_User.18,2015-08-11 00:29:13,2015-08-14,W_Sales_Task.1703,Task,160,Contacted,Internal,Completed,Normal,Follow Up and Qualification
W_Opportunity.24149,W_User.16,2017-03-31 13:09:32,2017-04-12,W_Sales_Task.1704,Task,290,Appointment Set,Internal,Not Started,Normal,Schedule Negotiation Call
W_Opportunity.24151,W_User.16,2016-09-11 08:37:16,2016-09-14,W_Sales_Task.1705,Task,2520,Call Successful,Internal,In Progress,Normal,Develop Business Case
W_Opportunity.24151,W_User.16,2016-09-19 22:18:51,2016-09-30,W_Sales_Task.1706,Task,2360,Call Successful,Inbound,Open,Normal,Request Needs List
W_Opportunity.24161,W_User.14,2016-08-19 22:34:58,2016-08-30,W_Sales_Task.1707,Task,1670,Appointment Set,Internal,On Hold,Normal,Qualification Meeting Notes
W_Opportunity.24179,W_User.16,2015-07-09 10:12:49,2015-07-22,W_Sales_Task.1708,Task,2740,Contacted,Outbound,On Hold,Normal,Demonstration to Project Team
W_Opportunity.24179,W_User.16,2015-07-06 19:48:27,2015-07-15,W_Sales_Task.1709,Task,920,Appointment Set,Outbound,In Progress,Normal,Manager Deal Update
W_Opportunity.24180,W_User.14,2017-04-15 17:23:12,2017-04-18,W_Sales_Task.1710,Task,2300,No Answer,Outbound,On Hold,Normal,Check-in with Customer
W_Opportunity.24185,W_User.4,2016-06-14 23:23:28,2016-06-26,W_Sales_Task.1711,Call,440,Call Successful,Inbound,On Hold,Normal,Quick Call with VP of Operations
W_Opportunity.24185,W_User.4,2016-06-16 05:34:46,2016-06-16,W_Sales_Task.1712,Task,700,Call Unsuccessful,Internal,In Progress,High,Call with Director of Operations
W_Opportunity.24188,W_User.18,2015-07-20 07:03:05,2015-07-28,W_Sales_Task.1713,Task,1540,Call Successful,Inbound,Completed,Normal,Quick Call to Update Customer
W_Opportunity.24200,W_User.20,2017-05-16 16:41:28,2017-05-28,W_Sales_Task.1714,Task,3150,Call Successful,Inbound,Completed,Normal,Discovery Session Notes
W_Opportunity.24200,W_User.20,2017-05-16 21:36:20,2017-05-25,W_Sales_Task.1715,Task,1290,Left Voicemail,Inbound,Completed,High,Design Social Command Center Requirements and Layout
W_Opportunity.24204,W_User.20,2016-04-24 11:40:29,2016-04-27,W_Sales_Task.1716,Task,3230,Left Voicemail,Outbound,Completed,Normal,Call Connect with CIO
W_Opportunity.24207,W_User.17,2016-11-19 13:54:58,2016-12-01,W_Sales_Task.1717,Task,1740,Call Unsuccessful,Outbound,In Progress,Normal,Sales Presentation Follow-Up
W_Opportunity.24207,W_User.17,2016-11-17 03:02:26,2016-11-19,W_Sales_Task.1718,Task,2850,Call Successful,Inbound,In Progress,Normal,Discuss Requirements with CIO
W_Opportunity.24209,W_User.15,2015-10-20 18:04:35,2015-10-29,W_Sales_Task.1719,Task,2160,Busy,Inbound,Not Started,High,Cleanup Current Pipeline by End of Month
W_Opportunity.24209,W_User.15,2015-10-20 13:41:51,2015-10-29,W_Sales_Task.1720,Task,2000,No Answer,Internal,In Progress,Normal,Complete Product Certification
W_Opportunity.24212,W_User.2,2016-10-11 21:14:16,2016-10-20,W_Sales_Task.1721,Task,2550,Appointment Set,Inbound,Not Started,Normal,Conference Call with VP of Operations
W_Opportunity.24227,W_User.1,2017-01-28 12:13:53,2017-01-31,W_Sales_Task.1722,Task,2300,Call Successful,Internal,On Hold,Normal,Discuss Customer Requirements
W_Opportunity.24230,W_User.14,2016-04-18 00:57:00,2016-04-22,W_Sales_Task.1723,Task,80,Contacted,Outbound,Open,Normal,Work with Marketing Team
W_Opportunity.24230,W_User.14,2016-04-19 03:32:59,2016-04-25,W_Sales_Task.1724,Task,2490,Call Successful,Internal,Completed,Normal,Arrange Team Strategy Meeting
W_Opportunity.24235,W_User.6,2016-07-18 15:05:37,2016-07-27,W_Sales_Task.1725,Task,3330,Call Successful,Inbound,Not Started,Normal,Develop Content and Positioning for Keynote Presentation
W_Opportunity.24237,W_User.18,2015-08-14 07:13:54,2015-08-14,W_Sales_Task.1726,Task,2650,Left Message,Internal,On Hold,Normal,Review Proposal and Update Pricing
W_Opportunity.24252,W_User.19,2017-05-12 00:00:00,2017-05-19,W_Sales_Task.1727,Task,310,Call Successful,Internal,Completed,Normal,Touch Base with Key Decision Maker
W_Opportunity.24264,W_User.3,2015-10-26 08:28:32,2015-11-03,W_Sales_Task.1728,Task,2640,Left Message,Outbound,Not Started,Normal,Develop Content for Webinar
W_Opportunity.24276,W_User.19,2015-10-31 00:38:45,2015-11-02,W_Sales_Task.1729,Task,1340,Busy,Internal,Completed,Normal,Onsite Presentation and Discussion
W_Opportunity.24289,W_User.19,2017-03-31 00:41:13,2017-04-13,W_Sales_Task.1730,Task,510,Busy,Outbound,On Hold,Normal,Demonstration to Key Stakeholders
W_Opportunity.24289,W_User.19,2017-03-31 02:47:15,2017-04-05,W_Sales_Task.1731,Task,480,Call Successful,Inbound,Not Started,Normal,Send Updated Pricing
W_Opportunity.24295,W_User.1,2016-11-05 10:33:18,2016-11-12,W_Sales_Task.1732,Task,310,Call Successful,Internal,Not Started,High,Negotiate Terms and Conditions
W_Opportunity.24296,W_User.1,2015-10-22 08:41:36,2015-11-03,W_Sales_Task.1733,Task,2460,Call Successful,Internal,On Hold,Normal,Conversation with Product Management
W_Opportunity.24297,W_User.6,2015-07-15 06:43:47,2015-07-28,W_Sales_Task.1734,Call,330,Left Message,Internal,In Progress,Normal,Develop Outbound Call Script and Offers
W_Opportunity.24297,W_User.6,2015-07-14 18:58:55,2015-07-21,W_Sales_Task.1735,Task,2700,Call Successful,Inbound,In Progress,Normal,Call Connect with CIO
W_Opportunity.24303,W_User.3,2015-08-31 20:40:12,2015-09-10,W_Sales_Task.1736,Task,3470,Call Successful,Internal,Not Started,Normal,Send Quote
W_Opportunity.24303,W_User.3,2015-08-21 17:14:40,2015-08-28,W_Sales_Task.1737,Task,3230,Call Successful,Inbound,In Progress,Normal,Update with Customer
W_Opportunity.24315,W_User.5,2016-09-28 05:17:25,2016-10-09,W_Sales_Task.1738,Task,1070,Call Successful,Inbound,Completed,Normal,Conference Call with VP of Operations
W_Opportunity.24316,W_User.4,2016-12-02 11:34:38,2016-12-02,W_Sales_Task.1739,Task,1260,Appointment Set,Internal,On Hold,High,Review Case with Customer
W_Opportunity.24331,W_User.15,2017-04-19 04:21:43,2017-05-01,W_Sales_Task.1740,Task,1560,Call Successful,Outbound,Completed,Normal,Call to Schedule Presentation
W_Opportunity.24338,W_User.15,2016-01-09 22:54:38,2016-01-11,W_Sales_Task.1741,Task,2230,Left Message,Inbound,Not Started,Normal,Touch Base with Champion
W_Opportunity.24339,W_User.16,2017-01-25 20:52:02,2017-02-06,W_Sales_Task.1742,Task,3450,Appointment Set,Internal,In Progress,Normal,Customer Success Review
W_Opportunity.24339,W_User.16,2017-01-26 14:37:59,2017-02-04,W_Sales_Task.1743,Task,240,Call Successful,Internal,Completed,Normal,Call with Director of Operations
W_Opportunity.24372,W_User.2,2016-07-19 10:56:50,2016-07-27,W_Sales_Task.1744,Task,2310,Left Message,Outbound,Completed,Normal,Quick Call to Update Customer
W_Opportunity.24404,W_User.4,2015-07-19 00:50:46,2015-07-19,W_Sales_Task.1745,Task,940,Appointment Set,Outbound,Completed,Normal,Request Questions From Customer
W_Opportunity.24421,W_User.17,2016-09-02 22:28:24,2016-09-14,W_Sales_Task.1746,Task,1290,Appointment Set,Outbound,In Progress,High,Call with Project Team
W_Opportunity.24428,W_User.14,2015-09-04 04:41:46,2015-09-12,W_Sales_Task.1747,Task,830,Call Unsuccessful,Inbound,Not Started,Normal,Approve Ad Designs
W_Opportunity.24435,W_User.2,2016-08-10 22:26:24,2016-08-21,W_Sales_Task.1748,Task,1970,No Answer,Internal,In Progress,Normal,Call Connect with VP of Service
W_Opportunity.24435,W_User.2,2016-08-06 00:54:46,2016-08-15,W_Sales_Task.1749,Task,1250,Appointment Set,Inbound,Not Started,Normal,Follow-up
W_Opportunity.24441,W_User.5,2015-06-07 01:27:58,2015-06-10,W_Sales_Task.1750,Task,2200,Call Successful,Outbound,On Hold,Normal,Connect with VP of Sales
W_Opportunity.24466,W_User.15,2016-05-23 22:34:32,2016-05-27,W_Sales_Task.1751,Task,2150,Busy,Inbound,Open,Normal,Follow Up and Qualification
W_Opportunity.24468,W_User.15,2017-01-26 23:39:31,2017-02-05,W_Sales_Task.1752,Task,2380,Appointment Set,Inbound,In Progress,Normal,Price Discussion
W_Opportunity.24468,W_User.15,2017-01-20 21:59:06,2017-01-31,W_Sales_Task.1753,Task,1310,Call Successful,Internal,On Hold,Normal,Your customer has opened a Case
W_Opportunity.24469,W_User.5,2017-05-19 23:50:10,2017-05-20,W_Sales_Task.1754,Task,3450,Contacted,Internal,Not Started,Normal,Send New Quote
W_Opportunity.24498,W_User.16,2016-01-03 12:49:35,2016-01-05,W_Sales_Task.1755,Call,2640,Call Successful,Internal,Completed,Normal,Develop Content and Positioning for Keynote Presentation
W_Opportunity.24498,W_User.16,2016-01-12 08:15:16,2016-01-21,W_Sales_Task.1756,Task,2620,Appointment Set,Internal,Completed,Normal,Onsite Meeting with Executive Team
W_Opportunity.24500,W_User.1,2016-09-22 06:18:34,2016-10-04,W_Sales_Task.1757,Task,2230,Left Voicemail,Outbound,In Progress,High,Develop Outbound Call Script and Offers
W_Opportunity.24501,W_User.2,2016-07-17 14:28:09,2016-07-29,W_Sales_Task.1758,Task,380,Left Message,Inbound,On Hold,Normal,Meeting to Discuss Objection Handling Best Practices
W_Opportunity.24505,W_User.6,2016-06-14 04:00:56,2016-06-21,W_Sales_Task.1759,Task,150,Call Successful,Outbound,Not Started,Normal,Request Needs List
W_Opportunity.24505,W_User.6,2016-06-11 05:04:44,2016-06-15,W_Sales_Task.1760,Email,2600,Call Successful,Internal,On Hold,Normal,Review Job Requisition
W_Opportunity.24508,W_User.6,2016-05-12 20:29:35,2016-05-25,W_Sales_Task.1761,Task,610,Left Voicemail,Outbound,On Hold,Normal,Request Requirements List from Prospect
W_Opportunity.24522,W_User.20,2015-08-15 08:02:30,2015-08-17,W_Sales_Task.1762,Task,1540,Call Successful,Inbound,In Progress,Normal,Arrange Team Strategy Meeting
W_Opportunity.24530,W_User.2,2016-12-23 05:59:58,2017-01-05,W_Sales_Task.1763,Task,560,Call Successful,Outbound,Not Started,Normal,Develop Business Case
W_Opportunity.24533,W_User.15,2016-05-07 15:57:03,2016-05-14,W_Sales_Task.1764,Task,1440,Call Successful,Outbound,Completed,Normal,Develop Content for Webinar
W_Opportunity.24533,W_User.15,2016-04-20 11:57:08,2016-04-21,W_Sales_Task.1765,Task,440,Call Successful,Internal,Not Started,Normal,Generate Quote with T&C's
W_Opportunity.24541,W_User.1,2017-01-08 00:55:27,2017-01-15,W_Sales_Task.1766,Task,2660,Call Unsuccessful,Internal,Not Started,Normal,Sales Presentation
W_Opportunity.24545,W_User.16,2015-07-25 14:38:42,2015-07-31,W_Sales_Task.1767,Task,1980,Call Successful,Internal,Not Started,Normal,Call Connect with VP of Service
W_Opportunity.24582,W_User.6,2015-09-21 14:52:07,2015-09-24,W_Sales_Task.1768,Task,1030,Appointment Set,Inbound,Completed,Normal,Check In with Customer
W_Opportunity.24582,W_User.6,2015-10-05 02:44:37,2015-10-09,W_Sales_Task.1769,Task,3260,Call Successful,Internal,Not Started,Normal,Call with Director of Sales
W_Opportunity.24591,W_User.4,2016-07-14 14:10:38,2016-07-19,W_Sales_Task.1770,Task,2940,Appointment Set,Inbound,Completed,Normal,Certification Training Review
W_Opportunity.24591,W_User.4,2016-07-17 01:33:50,2016-07-30,W_Sales_Task.1771,Task,2020,Left Voicemail,Outbound,Completed,Normal,2nd Mock Presentation
W_Opportunity.24592,W_User.2,2016-10-22 21:04:25,2016-11-02,W_Sales_Task.1772,Task,2120,Call Unsuccessful,Inbound,In Progress,Normal,Deal Discussion
W_Opportunity.24592,W_User.2,2016-10-13 05:08:28,2016-10-13,W_Sales_Task.1773,Task,1080,Contacted,Inbound,On Hold,Normal,Deal Discussion with Team
W_Opportunity.24593,W_User.4,2016-01-30 06:12:04,2016-02-02,W_Sales_Task.1774,Task,410,Appointment Set,Internal,Not Started,Normal,Schedule Negotiation Call
W_Opportunity.24593,W_User.4,2016-01-29 03:07:29,2016-01-31,W_Sales_Task.1775,Task,2540,Call Successful,Internal,Completed,High,Follow up with Customer
W_Opportunity.24614,W_User.1,2016-01-17 12:38:47,2016-01-24,W_Sales_Task.1776,Task,2720,Call Successful,Inbound,Not Started,High,Touch Base with Champion
W_Opportunity.24644,W_User.19,2016-04-14 14:52:42,2016-04-27,W_Sales_Task.1777,Task,900,Left Voicemail,Outbound,Completed,High,Send Updated Pricing and Contract
W_Opportunity.24651,W_User.15,2017-03-24 19:23:58,2017-03-25,W_Sales_Task.1778,Task,300,Appointment Set,Outbound,On Hold,Normal,Touch Base with Champion
W_Opportunity.24666,W_User.18,2015-12-11 13:02:53,2015-12-20,W_Sales_Task.1779,Task,760,Busy,Internal,Completed,Normal,Request Requirements Document
W_Opportunity.24668,W_User.14,2016-04-10 05:41:29,2016-04-10,W_Sales_Task.1780,Task,3360,Appointment Set,Outbound,Completed,Normal,Call with VP of Marketing
W_Opportunity.24668,W_User.14,2016-04-14 02:39:54,2016-04-26,W_Sales_Task.1781,Task,3030,Appointment Set,Inbound,Not Started,Normal,Connect with VP of Sales
W_Opportunity.24682,W_User.14,2016-09-15 11:31:23,2016-09-21,W_Sales_Task.1782,Task,1660,Appointment Set,Inbound,In Progress,Normal,Attend Social Media Best Practices Webinar
W_Opportunity.24686,W_User.5,2017-05-19 21:59:59,2017-05-19,W_Sales_Task.1783,Task,1780,Call Unsuccessful,Inbound,Not Started,Normal,Touch Base with Champion
W_Opportunity.24686,W_User.5,2017-05-17 18:00:40,2017-05-30,W_Sales_Task.1784,Task,2530,Appointment Set,Outbound,On Hold,Normal,Follow-up with Customer
W_Opportunity.24694,W_User.15,2016-01-22 04:42:31,2016-01-25,W_Sales_Task.1785,Task,850,Contacted,Internal,In Progress,Normal,Tradeshow Preparation
W_Opportunity.24697,W_User.14,2016-03-05 08:43:49,2016-03-18,W_Sales_Task.1786,Task,1690,Call Successful,Inbound,Completed,Normal,Other
W_Opportunity.24723,W_User.17,2016-03-08 17:44:56,2016-03-14,W_Sales_Task.1787,Task,3000,Call Successful,Inbound,Completed,Normal,Develop Content and Positioning for Keynote Presentation
W_Opportunity.24732,W_User.14,2016-07-17 05:56:05,2016-07-23,W_Sales_Task.1788,Task,970,Appointment Set,Internal,In Progress,High,Complete Product Certification
W_Opportunity.24732,W_User.14,2016-07-25 13:42:21,2016-07-27,W_Sales_Task.1789,Task,1140,Appointment Set,Outbound,On Hold,Normal,Meeting to Discuss Objection Handling Best Practices
W_Opportunity.24737,W_User.5,2017-01-26 13:29:47,2017-01-30,W_Sales_Task.1790,Task,2390,Call Successful,Internal,On Hold,Normal,Reply to Customer Questions.
W_Opportunity.24747,W_User.18,2016-03-12 08:36:26,2016-03-23,W_Sales_Task.1791,Task,920,Call Successful,Internal,In Progress,Normal,Draft Proposal for Customer
W_Opportunity.24751,W_User.18,2016-04-15 00:00:00,2016-04-24,W_Sales_Task.1792,Task,3400,Appointment Set,Inbound,Completed,Normal,Arrange Team Strategy Meeting
W_Opportunity.24753,W_User.17,2017-02-06 10:33:28,2017-02-13,W_Sales_Task.1793,Task,1530,Busy,Inbound,Completed,Normal,Get Requirements from Prospect
W_Opportunity.24753,W_User.17,2017-02-14 14:38:14,2017-02-19,W_Sales_Task.1794,Email,2680,Left Message,Inbound,On Hold,Normal,Follow-up
W_Opportunity.24760,W_User.4,2015-09-18 14:36:47,2015-09-19,W_Sales_Task.1795,Task,1740,Appointment Set,Inbound,On Hold,Normal,Connect with VP of Operations
W_Opportunity.24760,W_User.4,2015-09-14 15:10:27,2015-09-25,W_Sales_Task.1796,Task,2940,Call Successful,Inbound,On Hold,Normal,Lead Qualification Call
W_Opportunity.24761,W_User.16,2015-08-27 02:21:29,2015-09-05,W_Sales_Task.1797,Task,990,No Answer,Outbound,On Hold,Normal,Review Proof-of-Concept with Project Team
W_Opportunity.24779,W_User.18,2016-04-16 23:20:44,2016-04-17,W_Sales_Task.1798,Task,150,Call Successful,Outbound,Completed,Normal,Follow Up To My Message
W_Opportunity.24791,W_User.2,2016-01-03 10:00:54,2016-01-03,W_Sales_Task.1799,Task,3000,Call Successful,Outbound,Not Started,Normal,Agree on Next Steps
W_Opportunity.24791,W_User.2,2016-01-20 00:39:37,2016-01-26,W_Sales_Task.1800,Task,2000,Busy,Internal,Not Started,Normal,Onsite Presentation to Executive Team
W_Opportunity.24798,W_User.15,2016-08-03 09:44:44,2016-08-05,W_Sales_Task.1801,Task,1960,Call Successful,Inbound,Open,Normal,Qualification Call
W_Opportunity.24798,W_User.15,2016-07-29 04:17:26,2016-08-04,W_Sales_Task.1802,Task,3400,Call Successful,Inbound,In Progress,Normal,Get Requirements from Prospect
W_Opportunity.24811,W_User.16,2016-08-01 16:03:09,2016-08-14,W_Sales_Task.1803,Task,1430,Appointment Set,Outbound,Completed,High,Call Connect with CIO
W_Opportunity.24811,W_User.16,2016-07-18 02:42:22,2016-07-20,W_Sales_Task.1804,Email,1510,Call Successful,Inbound,On Hold,High,Meeting to Discuss Objection Handling Best Practices
W_Opportunity.24817,W_User.14,2017-05-01 13:47:32,2017-05-05,W_Sales_Task.1805,Task,2080,Call Successful,Outbound,Not Started,Normal,Send Letter
W_Opportunity.24824,W_User.6,2015-07-08 00:00:00,2015-07-19,W_Sales_Task.1806,Task,40,Appointment Set,Inbound,Completed,High,Cold Call
W_Opportunity.24824,W_User.6,2015-07-08 00:00:00,2015-07-15,W_Sales_Task.1807,Task,1300,Call Successful,Inbound,Not Started,Normal,Review Current Results and Revise ROI
W_Opportunity.24855,W_User.2,2016-11-21 00:00:00,2016-12-01,W_Sales_Task.1808,Task,1560,Call Successful,Outbound,Not Started,Normal,Complete and Send Close Plan
W_Opportunity.24855,W_User.2,2016-11-21 00:00:00,2016-11-29,W_Sales_Task.1809,Task,3400,Appointment Set,Outbound,In Progress,Normal,Meeting to Discuss Objection Handling Best Practices
W_Opportunity.24856,W_User.6,2015-11-01 01:54:28,2015-11-11,W_Sales_Task.1810,Task,2150,Appointment Set,Internal,In Progress,Normal,Finalize Board Presentation
W_Opportunity.24859,W_User.18,2017-01-05 00:48:48,2017-01-11,W_Sales_Task.1811,Task,1570,Appointment Set,Internal,Not Started,Normal,Attend Social Media Best Practices Webinar
W_Opportunity.24859,W_User.18,2017-01-06 13:24:45,2017-01-19,W_Sales_Task.1812,Task,310,Appointment Set,Outbound,In Progress,Normal,Kickoff Meeting with Stakeholders
W_Opportunity.24860,W_User.6,2017-01-22 08:29:36,2017-02-01,W_Sales_Task.1813,Call,1090,Call Successful,Outbound,In Progress,Normal,Draft Proposal for Customer
W_Opportunity.24868,W_User.20,2016-06-07 23:36:50,2016-06-11,W_Sales_Task.1814,Task,3600,Left Voicemail,Internal,Not Started,Normal,Conversation with Product Management
W_Opportunity.24868,W_User.20,2016-06-07 15:38:01,2016-06-13,W_Sales_Task.1815,Task,2340,Call Unsuccessful,Inbound,Not Started,Normal,Call with VP of Sales
W_Opportunity.24880,W_User.18,2016-07-22 00:23:41,2016-08-01,W_Sales_Task.1816,Task,2940,Left Message,Inbound,Completed,Normal,Call to Schedule Sales Presentation
W_Opportunity.24880,W_User.18,2016-07-30 11:02:51,2016-07-31,W_Sales_Task.1817,Task,1910,Appointment Set,Inbound,Completed,High,Setup & Run the First Manager Certification Class
W_Opportunity.24888,W_User.5,2017-01-21 05:18:14,2017-01-31,W_Sales_Task.1818,Task,510,Appointment Set,Outbound,On Hold,Normal,Quick Call with VP of Operations
W_Opportunity.24888,W_User.5,2017-02-07 00:33:47,2017-02-20,W_Sales_Task.1819,Task,3100,Call Successful,Outbound,On Hold,Normal,Discovery Call Request
W_Opportunity.24890,W_User.4,2016-11-11 19:17:50,2016-11-15,W_Sales_Task.1820,Task,1310,Call Successful,Inbound,Completed,Normal,Discovery Call with Management Team
W_Opportunity.24890,W_User.4,2016-11-03 08:37:49,2016-11-12,W_Sales_Task.1821,Call,2140,Contacted,Outbound,Open,Normal,Demonstration for Key Stakeholders
W_Opportunity.24900,W_User.18,2016-12-06 02:16:47,2016-12-06,W_Sales_Task.1822,Task,2560,No Answer,Internal,Not Started,High,Review Job Requisition
W_Opportunity.24904,W_User.14,2016-01-24 04:14:40,2016-02-02,W_Sales_Task.1823,Task,2690,Call Successful,Inbound,Completed,High,Qualification Notes from Meeting
W_Opportunity.24944,W_User.18,2016-07-18 06:29:24,2016-07-24,W_Sales_Task.1824,Task,1420,Left Message,Inbound,Completed,Normal,Discovery Meeting Request
W_Opportunity.24944,W_User.18,2016-07-28 23:29:11,2016-08-05,W_Sales_Task.1825,Task,300,Call Successful,Inbound,Completed,Normal,Call Connect with CIO
W_Opportunity.24949,W_User.20,2016-10-24 14:09:01,2016-10-28,W_Sales_Task.1826,Task,1520,Appointment Set,Inbound,In Progress,Normal,Design Social Command Center Requirements and Layout
W_Opportunity.24962,W_User.18,2017-01-07 03:07:47,2017-01-07,W_Sales_Task.1827,Task,810,Call Successful,Internal,Completed,Normal,Touch Base with Champion
W_Opportunity.24972,W_User.15,2016-01-26 22:48:42,2016-01-28,W_Sales_Task.1828,Task,730,Call Successful,Internal,On Hold,Normal,Call
W_Opportunity.24974,W_User.20,2015-11-12 11:46:37,2015-11-13,W_Sales_Task.1829,Task,1090,Appointment Set,Outbound,Not Started,High,Run Facebook Promotion to Boost Engagement
W_Opportunity.24994,W_User.19,2015-08-04 13:12:33,2015-08-09,W_Sales_Task.1830,Task,1100,Call Successful,Outbound,In Progress,Normal,Follow-Up From Meeting
